year,raceId,driverId,LapNumber,Position,LapTime_Str,LapTime_Seconds,TyreLife,LapTime_Delta,Stint,ShouldPit
2022,Abu Dhabi Grand Prix,zhou,53,15,1:29.600,89.6,7,-2.223000000000013,1,0
2022,Abu Dhabi Grand Prix,zhou,54,15,1:30.422,90.422,8,0.8220000000000027,1,0
2022,Abu Dhabi Grand Prix,zhou,55,15,1:30.407,90.407,9,-0.015000000000000568,1,0
2022,Abu Dhabi Grand Prix,zhou,56,13,1:32.315,92.315,10,1.9080000000000013,1,1
2022,Australian Grand Prix,albon,1,20,1:41.690,101.69,1,0.0,1,0
2022,Australian Grand Prix,albon,2,19,1:29.169,89.169,2,-12.521,1,0
2022,Australian Grand Prix,albon,3,18,1:55.834,115.834,3,26.665000000000006,1,1
2022,Australian Grand Prix,albon,4,18,2:12.047,132.047,4,16.212999999999994,1,1
2022,Australian Grand Prix,albon,5,18,2:17.043,137.043,5,4.996000000000009,1,1
2022,Australian Grand Prix,albon,56,7,1:22.658,82.658,6,-54.385000000000005,1,0
2022,Australian Grand Prix,albon,57,9,1:38.438,98.438,7,15.780000000000001,1,1
2022,Australian Grand Prix,albon,58,10,1:27.465,87.465,8,-10.972999999999999,1,0
2022,Australian Grand Prix,alonso,1,10,1:37.135,97.13499999999999,1,0.0,1,0
2022,Australian Grand Prix,alonso,2,10,1:27.059,87.059,2,-10.075999999999993,1,0
2022,Australian Grand Prix,alonso,3,10,1:53.519,113.519,3,26.460000000000008,1,1
2022,Australian Grand Prix,alonso,4,10,2:12.596,132.596,4,19.076999999999998,1,1
2022,Australian Grand Prix,alonso,5,10,2:16.328,136.328,5,3.7319999999999993,1,1
2022,Australian Grand Prix,alonso,56,17,1:30.367,90.367,6,-45.961,1,0
2022,Australian Grand Prix,alonso,57,17,1:20.846,80.846,7,-9.521,1,0
2022,Australian Grand Prix,bottas,1,12,1:38.109,98.10900000000001,1,0.0,1,0
2022,Australian Grand Prix,bottas,2,12,1:27.593,87.593,2,-10.516000000000005,1,0
2022,Australian Grand Prix,bottas,3,12,1:53.773,113.773,3,26.179999999999993,1,1
2022,Australian Grand Prix,bottas,4,12,2:12.056,132.056,4,18.283000000000015,1,1
2022,Australian Grand Prix,bottas,5,12,2:17.071,137.071,5,5.014999999999986,1,1
2022,Australian Grand Prix,bottas,56,9,1:21.894,81.894,6,-55.17699999999999,1,0
2022,Australian Grand Prix,bottas,57,8,1:22.201,82.201,7,0.30699999999998795,1,0
